userName,score,content,at,sentiment
Uncle Leon,1,First time user and I am being cheated out of over $350 dollars for reservation canceled 20 days before the reservation date! Had the reservation set for 2 days max! They are refusing my refund! The host has been notified directly by Airbnb multiple times and continues to deny the refund. PURE GREED!!! BY BOTH AIRBNB AND THE HOST!! I am literally unable to travel due to the recently passed REAL I.D law. I applied for mine. I have to wait for mine!!! Scam!!,2025-05-03 15:57:57,0.1534476143973214
J.E. Lara,5,awesome,2025-05-03 14:51:30,1.0
Azlin Abu Bakar,5,Very user-friendly apps,2025-05-03 12:49:48,0.2
Keith Melvin,5,Easy to use and always improving. Airbnbs are still much better than equivalent priced hotels,2025-05-03 12:27:27,0.4666666666666667
Simo El Marokkeuin,1,"AirBnb fees is so high, imagine 300dollaf for 3 days and in price breakdown i see more than 60$ for airbnb, are you serious guys?",2025-05-03 11:57:47,0.10888888888888891
Mario de la cruz,5,This is an excellent app for rent,2025-05-03 11:00:56,1.0
David-Obiechina Holman,1,"Trash, shady.",2025-05-03 10:06:07,-0.25
Marce Ahern,5,Easy to use and quick payment options. I would rather stay in homely accommodation and that's exactly what Air bnb offers.,2025-05-03 09:55:15,0.2791666666666667
Will Vert,5,"As a host and a guest, i Iove this app!",2025-05-03 08:44:17,0.0
Pamela Guzmán,5,easy and safe so far,2025-05-03 08:35:08,0.3444444444444445
A Google user,5,easy to use.,2025-05-03 07:56:08,0.43333333333333335
Patrix Moon,3,"It's only my first use of the app, so I'm not sure how much my review will matter, but its ease of use is wonderful and straightforward. I don't know how many stars to give it yet though as I have not officially had my trip, so I'll give it 3 stars for now. Depending on the stay, I'll give more or less the next time I leave a review.",2025-05-03 07:38:08,0.24083333333333337
Tyler Walker,5,Great!,2025-05-03 07:35:45,1.0
Kim Brooks,5,excellent. never a problem. easy and quick and option to pay with klarna is great!!,2025-05-03 07:11:44,0.6916666666666667
Michelle Corry,5,Every stay we have had has been great. You can tailor stays to suit whatever likes and needs you have,2025-05-03 05:39:35,0.8
Heather Lawrence,5,Alittle confusion in the beginning but everything is great now. Customer service was very helpful and speedy and fixed my about within an hour.,2025-05-03 05:35:41,0.3666666666666667
Lydia ferrer,5,really simple to manage,2025-05-03 05:29:00,0.0
joseph mckenzie,5,I first used Airbnb with my daughter and was very impressed by the whole set it's a great idea,2025-05-03 05:11:47,0.5625
Adeleke Mabo,4,Smart thinking ...,2025-05-03 05:01:47,0.21428571428571427
Gerald Patterson,2,"5/2/25... newest update has made airbnb useless. nothing loading up on searches, if you can get rentals to pop up, they won't load up at all.",2025-05-03 04:43:52,-0.5
Robert Ngari,5,easy to use and get a place,2025-05-03 04:17:50,0.43333333333333335
Cesar Mejia,5,hostes are Amazing. Thanks you,2025-05-03 04:01:24,0.4
Igor Ivandic,5,easy to navigate,2025-05-03 03:48:21,0.43333333333333335
marytoo,5,always good experiences!!!,2025-05-03 02:45:34,1.0
Ross Foster,5,no issues with using this app ever,2025-05-03 02:31:18,0.0
Amanda Smith,5,love this app. easy to look and find what you need.,2025-05-03 01:39:52,0.4666666666666667
Matt Thompson,5,Easy and convenient.,2025-05-03 01:07:58,0.43333333333333335
Mark Springham,5,love it!,2025-05-03 01:07:13,0.625
arganef,5,excellent,2025-05-03 00:37:35,1.0
Revelation Mthethwa,5,love this app,2025-05-02 23:48:38,0.5
