userName,score,content,at,sentiment,cluster
Mohamed Redha,5,"Very easy and friendly way to look and reserve your desired location. We hope we will have a wonderful stay in our reserved apartment in Canary Wharf, London.",2025-05-11 01:22:27,0.6461111111111112,0
Shamsudin Saleh,5,good,2025-05-11 00:59:20,0.7,0
Steve Oz,4,seems very easy to use,2025-05-10 23:59:01,0.5633333333333334,0
Peter Haslam,5,Very easy to use AbB,2025-05-10 22:41:58,0.5633333333333334,0
ANGELA STATTS,5,love this app so far I've had nothing but great experiences.,2025-05-10 20:56:38,0.4666666666666666,0
Stephen Duncan,5,awesome,2025-05-10 20:42:40,1.0,0
Marian Coady,3,"10 May 2025. My app has stopped translating. it come though to email translated, but does not translate in app messages. please sort it out... My app not updating my inbox. I have confirmed and responded to people and still saying I need to confirm and respond?",2025-05-10 20:22:56,0.4,0
Maria selarayan,5,I love Airbnb! You make me happy!,2025-05-10 20:08:16,0.8125,0
Melanie Wheeler,5,"Great way to find accommodation in any place. Clear, simple to use and browse. My go-to app for traveling",2025-05-10 19:44:52,0.3,0
Cutie Pie,5,Easy.,2025-05-10 19:31:43,0.4333333333333333,0
Madhusudan Bhor,5,Great concept with amazing opportunities to property owners and excellent experience to travellers.,2025-05-10 18:51:16,0.8000000000000002,0
Ravindra Solanki,5,Excellent as time consuming and easy check in Thank you,2025-05-10 17:23:57,0.7166666666666667,0
Only Mazzika Sy,5,the best ever,2025-05-10 16:35:38,1.0,0
Sanam sukan Raj,5,super 👍,2025-05-10 16:14:27,0.3333333333333333,0
Nilo Dave Chin,5,nice!,2025-05-10 15:56:01,0.75,0
Marcus Cummins,4,very good experience very excited deal,2025-05-10 14:37:55,0.69875,0
Royal studio New,5,this app very good 👍,2025-05-10 13:36:32,0.91,0
Gianna Miller,5,love it. gives you beautiful home stays for your travels,2025-05-10 11:44:40,0.675,0
Lyndon Troutman,5,Great App !!,2025-05-10 09:04:00,1.0,0
Lesli,1,"App has become unusable due to the new ""group screening"" feature. If you're a party of more than two people (adults or children) good luck ever being able to book any property again. I reached out to customer service four times, both phone calls and texts do nothing. Despite reaching out to the host and getting their express permission they don't care. They refuse to escalate the situation and keep referring me to the automated ai email that says Airbnb is upholding their decision.",2025-05-10 09:02:27,0.3422727272727273,0
He Is Faith,5,Great with Better Rates For Hotels / Motels who sign up with AirbNb,2025-05-10 08:19:50,0.65,0
Letasha Fullbright (Lil Tasha),5,excellent resource,2025-05-10 06:53:02,1.0,0
Marty Riske,5,easy to use,2025-05-10 04:21:25,0.4333333333333333,0
Marybeth Costilla,5,Amazing!,2025-05-10 02:54:52,0.7500000000000001,0
Axel Tillmann,5,"We are using Airbnb for our Digital Nomad Life since Nov 2023, what a great help and opportunity",2025-05-10 02:41:34,0.4,0
Mohamed Rahouny,5,Very nice and easy App.,2025-05-10 01:46:22,0.6066666666666667,0
jesse valdez,5,wonderful stays,2025-05-10 01:04:39,1.0,0
clint stewart,5,It's been great,2025-05-10 00:30:43,0.8,0
John Souza,5,easy to use,2025-05-10 00:23:17,0.4333333333333333,0
chris,5,very easy site to use,2025-05-09 23:15:21,0.5633333333333334,0
Melissa Maly,5,absolutely love airbnb for all my travel needs !,2025-05-09 23:14:16,0.625,0
Cedgge Edge,5,amazing app,2025-05-09 21:57:55,0.6000000000000001,0
shamika whitsett,5,"Easy to use, love the pictures and detail",2025-05-09 21:06:56,0.4666666666666667,0
Angela Hall,4,Very easy app to use.,2025-05-09 18:31:21,0.5633333333333334,0
Sivashankar,5,Nice app,2025-05-09 17:46:24,0.6,0
Snezana Markovic,5,Always had a good experience.,2025-05-09 17:36:15,0.7,0
Kathie Petrakos,5,Very user friendly and lots of choice,2025-05-09 11:38:27,0.2875,0
Lilly Cordin,5,loving you guys,2025-05-09 10:44:28,0.6,0
Maureen Cicchinelli,5,Easy and straightforward to use. Wish you could filter for a fully-fenced yard since we travel frequently with our dogs,2025-05-09 09:37:12,0.3027777777777777,0
Alex Jones,3,"No option to filter by nightly rate. They seem very proud that the price shows the whole nights stay plus fees, which is nice. Before you could toggle between the 2, but now there is no option for this.",2025-05-09 09:16:47,0.6,0
Mary Bettelheim,5,easy to use...simple to book or cancel reservations...recommend.,2025-05-09 08:22:36,0.4333333333333333,0
The Green Dragon,5,exceptional,2025-05-09 06:39:20,0.6666666666666666,0
Evance Oduor,5,Perfect for someone who travels a lot like me.,2025-05-09 06:18:32,1.0,0
SANDY BENEDICT,5,I have always had quick responses and never had any issues with the properties that I have visited.,2025-05-09 05:57:00,0.3333333333333333,0
The Look,5,Great so far.,2025-05-09 05:48:17,0.45,0
Agnieszka Kropiwnicka,5,"great, easy to navigate, all the information you need to make a choice",2025-05-09 03:51:00,0.6166666666666667,0
Mostafa Osama,5,Good,2025-05-09 03:40:12,0.7,0
Balachandran K,5,Simply Awesome,2025-05-09 00:21:26,1.0,0
Pinky Msani,4,It's a very smooth way of booking for your trip,2025-05-09 00:19:05,0.52,0
Angel Marshall,5,it was great.,2025-05-08 23:42:06,0.8,0
